order_id,customer_id,product_id,quantity,order_date,status,payment_amount
1,1,1,4,13-03-2025,NA,12668.1
2,2,2,3,04-11-2024,Pending,529.46
3,3,3,3,14-01-2025,Completed,14324.92
4,4,4,7,13-05-2024,Completed,14749.07
5,5,5,1,15-07-2025,Cancelled,6589.09
6,6,6,6,17-01-2025,NA,10867.45
7,7,7,9,07-12-2025,Cancelled,13042.74
8,8,8,4,28-11-2023,Completed,1949.41
9,9,9,10,07-10-2024,Cancelled,1405.6
10,10,10,4,26-08-2025,Pending,14352.03
11,11,11,3,26-12-2024,Completed,14921.19
12,12,12,0,24-11-2025,Completed,8075.25
13,13,13,3,28-08-2023,Cancelled,12456.61
14,14,14,9,18-02-2025,Pending,4861.5
15,15,15,1,24-09-2024,Pending,8506.98
16,16,16,2,19-06-2025,Pending,0
17,17,17,4,03-10-2024,Pending,5915.1
18,18,18,6,25-07-2023,Cancelled,12935.37
19,19,19,1,24-07-2023,Completed,1097.3
20,20,20,4,24-04-2024,Completed,2477.56
21,21,21,8,16-12-2025,Completed,6172.1
22,22,22,4,08-02-2025,Completed,10688.79
23,23,23,9,31-07-2024,Cancelled,12647.15
24,24,24,3,01-12-2024,Completed,6351.92
25,25,25,8,07-02-2024,Completed,4343.19
26,26,26,6,24-06-2023,Completed,2665.65
27,27,27,4,01-04-2024,Completed,0
28,28,28,8,05-10-2023,Completed,8355.62
29,29,29,3,04-06-2025,NA,7105.82
30,30,30,7,25-06-2023,Completed,12228.36
31,31,31,7,19-10-2025,Completed,1629.62
32,32,32,6,15-03-2025,Completed,2577.78
33,33,33,-2,26-05-2023,Completed,3550.94
34,34,34,-2,26-07-2024,Pending,2820.25
35,35,35,-2,10-08-2025,Completed,187.89
36,36,36,1,24-05-2025,Cancelled,7291.21
37,37,37,4,01-12-2024,Completed,13262.78
38,38,38,1,24-08-2025,Cancelled,3051.29
39,39,39,2,06-10-2025,Completed,8330.83
40,40,40,7,19-08-2023,Pending,4279.06
41,41,41,2,07-03-2026,Completed,0
42,42,42,4,25-07-2025,Completed,9016.74
43,43,43,8,28-09-2023,Completed,1086.71
44,44,44,2,22-08-2025,NA,4278.6
45,45,45,1,17-04-2024,Completed,1094.64
46,46,46,6,08-12-2023,Cancelled,5267.4
47,47,47,1,15-08-2025,Completed,6740.37
48,48,48,8,14-07-2024,Completed,7391.3
49,49,49,9,06-10-2025,NA,3670.65
50,50,50,8,28-11-2024,NA,3219.46
51,51,51,-2,24-06-2024,Cancelled,12675.16
52,52,52,9,09-08-2025,Completed,5339.05
53,53,53,10,19-04-2026,Pending,6148.59
54,54,54,2,08-05-2024,Cancelled,13413.61
55,55,55,7,25-07-2023,Cancelled,10929.93
56,56,56,8,10-11-2025,Pending,5827.34
57,57,57,6,20-05-2024,Completed,0
58,58,58,0,12-06-2023,Cancelled,1095.28
59,59,59,5,12-04-2025,NA,4226.94
60,60,60,7,15-08-2023,Completed,14841.94
61,61,61,8,03-05-2025,Completed,12418.85
62,62,62,8,04-10-2023,Completed,1018.13
63,63,63,10,21-03-2025,Completed,14948.29
64,64,64,1,13-03-2025,NA,9924.51
65,65,65,5,17-01-2024,Cancelled,7486.27
66,66,66,5,09-07-2024,Completed,201.88
67,67,67,9,21-05-2023,Pending,6145.8
68,68,68,3,12-12-2023,Pending,0
69,69,69,9,26-03-2024,Cancelled,3694.62
70,70,70,8,30-08-2025,Cancelled,1595.95
71,71,71,4,26-12-2023,Completed,9361.59
72,72,72,7,15-03-2024,Completed,11381.56
73,73,73,1,19-01-2024,Completed,5258.88
74,74,74,4,03-05-2025,Completed,4043.81
75,75,75,5,22-11-2025,NA,6522.97
76,76,76,2,02-06-2025,NA,0
77,77,77,8,05-05-2024,Cancelled,8341.25
78,78,78,7,28-05-2023,Completed,0
79,79,79,5,12-07-2023,NA,13227.85
80,80,80,5,22-12-2023,Completed,12271.84
81,81,81,2,26-11-2023,Pending,1317.38
82,82,82,3,24-08-2025,Completed,13877.81
83,83,83,10,27-11-2025,Completed,9391.04
84,84,84,9,13-12-2024,Pending,12010.48
85,85,85,7,25-06-2025,Completed,13201.36
86,86,86,4,14-02-2026,NA,14950.8
87,87,87,3,26-09-2025,Completed,14768.65
88,88,88,2,15-09-2024,NA,10095.62
89,89,89,1,29-01-2024,Cancelled,12154.77
90,90,90,-2,23-08-2023,Completed,4204.33
91,91,91,5,28-07-2025,Cancelled,11730.86
92,92,92,4,19-10-2024,Pending,1495.61
93,93,93,6,16-11-2025,NA,13414.47
94,94,94,9,19-06-2025,Completed,2544.58
95,95,95,2,02-05-2025,Pending,5669.2
96,96,96,5,04-07-2025,Completed,10171.85
97,97,97,9,07-12-2024,Cancelled,246.2
98,98,98,4,09-03-2025,Completed,2659.27
99,99,99,6,18-02-2026,NA,9973.68
100,100,100,3,15-04-2026,Completed,8474.81
101,101,101,4,23-09-2024,Cancelled,12047.76
102,102,102,9,05-09-2023,Cancelled,2388.93
103,103,103,6,17-01-2025,Completed,5298.78
104,104,104,9,22-05-2023,Pending,10529.7
105,105,105,1,14-12-2025,Pending,5918.43
106,106,106,7,04-10-2024,NA,10040.6
107,107,107,4,07-04-2026,Completed,1889.88
108,108,108,6,08-08-2023,Completed,1039
109,109,109,3,09-10-2025,Completed,7083.17
110,110,110,4,24-05-2024,Cancelled,13910.77
111,111,111,3,17-03-2025,Cancelled,493.81
112,112,112,-2,23-08-2023,NA,4869.23
113,113,113,4,07-05-2024,Completed,5676.22
114,114,114,9,07-12-2025,Pending,7862.38
115,115,115,6,02-10-2025,Completed,10003.34
116,116,116,10,06-10-2024,Pending,8721.38
117,117,117,8,06-04-2026,Pending,9098.03
118,118,118,9,27-11-2025,Cancelled,11346.96
119,119,119,8,03-05-2025,Completed,5844.84
120,120,120,-2,20-11-2024,NA,2444.31
121,121,121,10,30-12-2023,Cancelled,707.03
122,122,122,2,03-06-2025,Pending,11426.06
123,123,123,9,04-05-2024,Pending,2064.39
124,124,124,3,29-06-2023,NA,7498.33
125,125,125,4,08-09-2024,NA,476.8
126,126,126,-2,26-01-2025,NA,2289.54
127,127,127,10,03-11-2023,NA,1749.22
128,128,128,0,27-07-2024,NA,13770.53
129,129,129,10,18-04-2025,Completed,1178.57
130,130,130,8,15-01-2026,NA,9521.84
131,131,131,8,18-05-2024,NA,9999.31
132,132,132,9,03-02-2024,Cancelled,3386.78
133,133,133,0,14-08-2024,Pending,2799.1
134,134,134,4,09-06-2024,Completed,7898.77
135,135,135,9,18-03-2024,Cancelled,11920.34
136,136,136,8,01-11-2023,Cancelled,0
137,137,137,4,05-11-2025,Pending,12004.85
138,138,138,2,31-01-2026,Pending,5122.82
139,139,139,8,15-04-2024,Completed,13459.94
140,140,140,-2,12-06-2023,Cancelled,9128.36
141,141,141,6,05-07-2025,Cancelled,14159.57
142,142,142,8,26-07-2023,Completed,12902.32
143,143,143,8,17-10-2024,Pending,368.6
144,144,144,5,04-05-2025,Completed,5960.66
145,145,145,10,26-06-2024,Cancelled,10749.69
146,146,146,0,20-05-2023,Completed,8698.02
147,147,147,10,18-11-2023,NA,10944.16
148,148,148,10,14-11-2025,Pending,7543.95
149,149,149,10,14-10-2025,Completed,7920.03
150,150,150,8,25-08-2024,Cancelled,1414.89
151,151,151,5,15-09-2025,Pending,11740.52
152,152,152,9,23-08-2023,Cancelled,8452.36
153,153,153,3,11-03-2024,NA,5601.88
154,154,154,4,27-11-2024,Pending,10764.21
155,155,155,5,15-05-2023,Completed,1394.9
156,156,156,3,07-07-2023,NA,0
157,157,157,1,14-10-2025,Cancelled,4494.44
158,158,158,2,17-05-2025,Pending,1511.99
159,159,159,4,20-08-2023,NA,761.82
160,160,160,8,16-09-2023,NA,10641.05
161,161,161,7,07-11-2023,Completed,1321.29
162,162,162,8,01-10-2023,NA,7740
163,163,163,10,27-02-2026,Completed,2194.85
